,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
6760,Lyndsie Fogarty,24,2008,08/24/2008,0,0,1,1
6761,Björn Goldschmidt,28,2008,08/24/2008,0,0,1,1
6762,Alexander Grimm,21,2008,08/24/2008,1,0,0,1
6763,Thomas Hall,26,2008,08/24/2008,0,0,1,1
6764,Pavol Hochschorner,28,2008,08/24/2008,1,0,0,1
6765,Peter Hochschorner,28,2008,08/24/2008,1,0,0,1
6766,Martin Hollstein,21,2008,08/24/2008,1,0,0,1
6767,Josefa Idem-Guerrini,43,2008,08/24/2008,0,1,0,1
6768,Andreas Ihle,29,2008,08/24/2008,1,0,0,1
6769,Elena Kaliská,36,2008,08/24/2008,1,0,0,1
6770,Tamás Kiss,21,2008,08/24/2008,0,0,1,1
6771,Kim Knudsen,30,2008,08/24/2008,0,1,0,1
6772,Aleksandr Kostoglod,34,2008,08/24/2008,0,1,0,1
6773,Danuta Kozák,21,2008,08/24/2008,0,1,0,1
6774,György Kozmann,30,2008,08/24/2008,0,0,1,1
6775,Mikhail Kuznetsov,23,2008,08/24/2008,0,0,1,1
6776,Dmitry Larionov,22,2008,08/24/2008,0,0,1,1
6777,Eirik Verås Larsen,32,2008,08/24/2008,0,1,0,1
6778,Jacqui Lawrence,26,2008,08/24/2008,0,1,0,1
6779,Fabien Lefèvre,26,2008,08/24/2008,0,1,0,1
6780,Artur Litvinchuk,20,2008,08/24/2008,1,0,0,1
6781,Michal Martikán,29,2008,08/24/2008,1,0,0,1
6782,Chantal Meek,29,2008,08/24/2008,0,0,1,1
6783,Meng Guanliang,31,2008,08/24/2008,1,0,0,1
6784,Beata Mikolajczyk,22,2008,08/24/2008,0,1,0,1
6785,Violetta Oblinger-Peters,30,2008,08/24/2008,0,0,1,1
6786,Lisa Oldenhof,28,2008,08/24/2008,0,0,1,1
6787,Maksim Opalev,29,2008,08/24/2008,1,0,0,1
6788,Inna Osypenko-Radomska,25,2008,08/24/2008,1,0,0,1
6789,Aneta Pastuszka-Konieczna,30,2008,08/24/2008,0,1,0,1
6790,Carlos Pérez,29,2008,08/24/2008,1,0,0,1
6791,René Poulsen,19,2008,08/24/2008,0,1,0,1
6792,Ronald Rauhe,26,2008,08/24/2008,0,1,0,1
6793,Nicole Reinhardt,22,2008,08/24/2008,1,0,0,1
6794,Michal Riszdorfer,31,2008,08/24/2008,0,1,0,1
6795,Richard Riszdorfer,27,2008,08/24/2008,0,1,0,1
6796,Antonio Scaduto,30,2008,08/24/2008,0,0,1,1
6797,Ondrej tepánek,28,2008,08/24/2008,0,1,0,1
6798,Gabriella Szabó,22,2008,08/24/2008,0,1,0,1
6799,Juraj Tarr,29,2008,08/24/2008,0,1,0,1
6800,Sergey Ulegin,30,2008,08/24/2008,0,1,0,1
6801,Attila Vajda,25,2008,08/24/2008,1,0,0,1
6802,Adam Van Koeverden,26,2008,08/24/2008,0,1,0,1
6803,Anne-Laure Viard,27,2008,08/24/2008,0,0,1,1
6804,Erik Vlcek,26,2008,08/24/2008,0,1,0,1
6805,Jaroslav Volf,28,2008,08/24/2008,0,1,0,1
6806,Conny Wassmuth,25,2008,08/24/2008,1,0,0,1
6807,Tim Wieskötter,29,2008,08/24/2008,0,1,0,1
6808,Yang Wenjun,24,2008,08/24/2008,1,0,0,1
6809,Juraj Baca,27,2004,08/29/2004,0,0,1,1
6810,Björn Bach,28,2004,08/29/2004,0,1,0,1
6811,Hanna Balabanova,34,2004,08/29/2004,0,0,1,1
6812,Ledys Balceiro,29,2004,08/29/2004,0,1,0,1
6813,Marcus Becker,22,2004,08/29/2004,0,1,0,1
6814,Beniamino Bonomi,36,2004,08/29/2004,0,1,0,1
6815,Kinga Bóta,27,2004,08/29/2004,0,1,0,1
6816,Caroline Brunet,35,2004,08/29/2004,0,0,1,1
6817,Olena Cherevatova,34,2004,08/29/2004,0,0,1,1
6818,Tony Estanguet,26,2004,08/29/2004,1,0,0,1
6819,Nils Olav Fjeldheim,27,2004,08/29/2004,0,0,1,1
6820,Ben Fouhy,25,2004,08/29/2004,0,1,0,1
6821,Rebecca Giddens,26,2004,08/29/2004,0,1,0,1
6822,Christian Gille,28,2004,08/29/2004,1,0,0,1
6823,Stefan Henze,23,2004,08/29/2004,0,1,0,1
6824,Pavol Hochschorner,24,2004,08/29/2004,1,0,0,1
6825,Peter Hochschorner,24,2004,08/29/2004,1,0,0,1
6826,Gábor Horváth,32,2004,08/29/2004,1,0,0,1
6827,Josefa Idem-Guerrini,39,2004,08/29/2004,0,1,0,1
6828,Andreas Ihle,25,2004,08/29/2004,0,1,0,1
6829,Elena Kaliská,32,2004,08/29/2004,1,0,0,1
6830,Zoltán Kammerer,26,2004,08/29/2004,1,0,0,1
6831,György Kolonics,32,2004,08/29/2004,0,0,1,1
6832,György Kozmann,26,2004,08/29/2004,0,0,1,1
6833,Fabien Lefèvre,22,2004,08/29/2004,0,0,1,1
6834,Vadim Makhnyov,24,2004,08/29/2004,0,0,1,1
6835,Michal Martikán,25,2004,08/29/2004,0,1,0,1
6836,Meng Guanliang,27,2004,08/29/2004,1,0,0,1
6837,Henrik Nilsson,28,2004,08/29/2004,1,0,0,1
6838,Maike Nollen,26,2004,08/29/2004,1,0,0,1
6839,Maksim Opalev,25,2004,08/29/2004,0,0,1,1
6840,Markus Oscarsson,27,2004,08/29/2004,1,0,0,1
6841,Inna Osypenko-Radomska,21,2004,08/29/2004,0,0,1,1
6842,Aneta Pastuszka-Konieczna,26,2004,08/29/2004,0,0,1,1
6843,Benoît Peschier,24,2004,08/29/2004,1,0,0,1
6844,Roman Petrushenko,23,2004,08/29/2004,0,0,1,1
6845,Stefan Pfannmöller,23,2004,08/29/2004,0,0,1,1
6846,Ronald Rauhe,22,2004,08/29/2004,1,0,0,1
6847,Helen Reeves,23,2004,08/29/2004,0,0,1,1
6848,Michal Riszdorfer,27,2004,08/29/2004,0,0,1,1
6849,Richard Riszdorfer,23,2004,08/29/2004,0,0,1,1
6850,Clint Robinson,32,2004,08/29/2004,0,1,0,1
6851,Ibrahim Rojas,28,2004,08/29/2004,0,1,0,1
6852,Antonio Rossi,35,2004,08/29/2004,0,1,0,1
6853,Beata Sokolowska-Kulesza,30,2004,08/29/2004,0,0,1,1
6854,Ondrej tepánek,24,2004,08/29/2004,0,0,1,1
6855,Botond Storcz,29,2004,08/29/2004,1,0,0,1
6856,Szilvia Szabó,25,2004,08/29/2004,0,1,0,1
6857,Tetiana Teklian-Semykina,30,2004,08/29/2004,0,0,1,1
6858,Stefan Ulm,28,2004,08/29/2004,0,1,0,1
6859,Attila Vajda,21,2004,08/29/2004,0,0,1,1
6860,Ákos Vereckei,26,2004,08/29/2004,1,0,0,1
6861,Erzsébet Viski,24,2004,08/29/2004,0,1,0,1
6862,Erik Vlcek,22,2004,08/29/2004,0,0,1,1
6863,Jaroslav Volf,24,2004,08/29/2004,0,0,1,1
6864,Katrin Wagner-Augustin,26,2004,08/29/2004,1,0,0,1
6865,Campbell Walsh,26,2004,08/29/2004,0,1,0,1
6866,Tim Wieskötter,25,2004,08/29/2004,1,0,0,1
6867,Tomasz Wylenzek,21,2004,08/29/2004,1,0,0,1
6868,Ian Wynne,30,2004,08/29/2004,0,0,1,1
6869,Yang Wenjun,20,2004,08/29/2004,1,0,0,1
6870,Mark Zabel,31,2004,08/29/2004,0,1,0,1
6871,Björn Bach,24,2000,10/01/2000,0,1,0,1
6872,Ledys Balceiro,25,2000,10/01/2000,0,1,0,1
6873,Pawel Baraszkiewicz,23,2000,10/01/2000,0,1,0,1
6874,Anne-Lise Bardet,30,2000,10/01/2000,0,0,1,1
6875,Krisztián Bártfai,26,2000,10/01/2000,0,0,1,1
6876,Dariusz Bialkowski,30,2000,10/01/2000,0,0,1,1
6877,Beniamino Bonomi,32,2000,10/01/2000,1,0,0,1
6878,Katrin Borchert,31,2000,10/01/2000,0,0,1,1
6879,Tim Brabants,23,2000,10/01/2000,0,0,1,1
6880,Caroline Brunet,31,2000,10/01/2000,0,1,0,1
6881,Danny Collins,29,2000,10/01/2000,0,1,0,1
6882,Tony Estanguet,22,2000,10/01/2000,1,0,0,1
6883,Pierpaolo Ferrazzi,35,2000,10/01/2000,0,0,1,1
6884,Steve Giles,28,2000,10/01/2000,0,0,1,1
6885,Brigitte Guibal,29,2000,10/01/2000,0,1,0,1
6886,tepánka Hilgertová,32,2000,10/01/2000,1,0,0,1
6887,Pavol Hochschorner,21,2000,10/01/2000,1,0,0,1
6888,Peter Hochschorner,21,2000,10/01/2000,1,0,0,1
6889,Gábor Horváth,28,2000,10/01/2000,1,0,0,1
6890,Josefa Idem-Guerrini,36,2000,10/01/2000,1,0,0,1
6891,Raluca Ionita,24,2000,10/01/2000,0,0,1,1
6892,Daniel Jedraszko,24,2000,10/01/2000,0,1,0,1
6893,Marek Jiras,22,2000,10/01/2000,0,0,1,1
6894,Rita Kobán,35,2000,10/01/2000,0,1,0,1
6895,Lars Kober,23,2000,10/01/2000,0,0,1,1
6896,Michael Kolganov,25,2000,10/01/2000,0,0,1,1
6897,György Kolonics,28,2000,10/01/2000,1,0,0,1
6898,Grzegorz Kotowicz,27,2000,10/01/2000,0,0,1,1
6899,Krzysztof Kolomanski,27,2000,10/01/2000,0,1,0,1
6900,Mariana Limbau,23,2000,10/01/2000,0,0,1,1
6901,Tomá Máder,26,2000,10/01/2000,0,0,1,1
6902,Michal Martikán,21,2000,10/01/2000,0,1,0,1
6903,Juraj Mincík,23,2000,10/01/2000,0,0,1,1
6904,Manuela Mucke,25,2000,10/01/2000,1,0,0,1
6905,Henrik Nilsson,24,2000,10/01/2000,0,1,0,1
6906,Ferenc Novák,31,2000,10/01/2000,1,0,0,1
6907,Maksim Opalev,21,2000,10/01/2000,0,1,0,1
6908,Markus Oscarsson,23,2000,10/01/2000,0,1,0,1
6909,Aneta Pastuszka-Konieczna,22,2000,10/01/2000,0,0,1,1
6910,Leobaldo Pereira,28,2000,10/01/2000,0,1,0,1
6911,Imre Pulai,32,2000,10/01/2000,1,0,0,1
6912,Elena Radu,25,2000,10/01/2000,0,0,1,1
6913,Paul Ratcliffe,26,2000,10/01/2000,0,1,0,1
6914,Ronald Rauhe,18,2000,10/01/2000,0,0,1,1
6915,Ibrahim Rojas,24,2000,10/01/2000,0,1,0,1
6916,Antonio Rossi,31,2000,10/01/2000,1,0,0,1
6917,Jan Schäfer,25,2000,10/01/2000,0,1,0,1
6918,Thomas Schmidt,24,2000,10/01/2000,1,0,0,1
6919,Anett Schuck,30,2000,10/01/2000,1,0,0,1
6920,Adam Seroczynski,26,2000,10/01/2000,0,0,1,1
6921,Beata Sokolowska-Kulesza,26,2000,10/01/2000,0,0,1,1
6922,Michal Staniszewski,27,2000,10/01/2000,0,1,0,1
6923,Sanda Toma,30,2000,10/01/2000,0,0,1,1
6924,Andrew Trim,31,2000,10/01/2000,0,1,0,1
6925,Stefan Ulm,24,2000,10/01/2000,0,1,0,1
6926,Stefan Uteß,25,2000,10/01/2000,0,0,1,1
6927,Krisztián Veréb,23,2000,10/01/2000,0,0,1,1
6928,Ákos Vereckei,23,2000,10/01/2000,1,0,0,1
6929,Erzsébet Viski,20,2000,10/01/2000,0,1,0,1
6930,Tim Wieskötter,21,2000,10/01/2000,0,0,1,1
6931,Marek Witkowski,26,2000,10/01/2000,0,0,1,1
6932,Mark Zabel,27,2000,10/01/2000,0,1,0,1
6933,Brett Anderson,20,2008,08/24/2008,0,0,1,1
6934,Jake Arrieta,22,2008,08/24/2008,0,0,1,1
6935,Brian Barden,27,2008,08/24/2008,0,0,1,1
6936,Alexei Bell,24,2008,08/24/2008,0,1,0,1
6937,Bong Jung-Keun,28,2008,08/24/2008,1,0,0,1
6938,Matt Brown,26,2008,08/24/2008,0,0,1,1
6939,Trevor Cahill,20,2008,08/24/2008,0,0,1,1
6940,Frederich Cepeda,28,2008,08/24/2008,0,1,0,1
6941,Jeremy Cummings,31,2008,08/24/2008,0,0,1,1
6942,Alfredo Despaigne,22,2008,08/24/2008,0,1,0,1
6943,Jason Donald,23,2008,08/24/2008,0,0,1,1
6944,Brian Duensing,25,2008,08/24/2008,0,0,1,1
6945,Giorvis Duvergel,28,2008,08/24/2008,0,1,0,1
6946,Michel Enríquez,29,2008,08/24/2008,0,1,0,1
6947,Dexter Fowler,22,2008,08/24/2008,0,0,1,1
6948,John Gall,30,2008,08/24/2008,0,0,1,1
6949,Gang Min-Ho,22,2008,08/24/2008,1,0,0,1
6950,Go Yeong-Min,24,2008,08/24/2008,1,0,0,1
6951,Norberto González,28,2008,08/24/2008,0,1,0,1
6952,Yulieski Gourriel,24,2008,08/24/2008,0,1,0,1
6953,Gwon Hyeok,24,2008,08/24/2008,1,0,0,1
6954,Han Gi-Ju,21,2008,08/24/2008,1,0,0,1
6955,Mike Hessman,30,2008,08/24/2008,0,0,1,1
6956,Jang Won-Sam,25,2008,08/24/2008,1,0,0,1
6957,Jeong Dae-Hyeon,29,2008,08/24/2008,1,0,0,1
6958,Jeong Geun-U,25,2008,08/24/2008,1,0,0,1
6959,Kevin Jepsen,24,2008,08/24/2008,0,0,1,1
6960,Jin Gab-Yong,34,2008,08/24/2008,1,0,0,1
6961,Kim Dong-Ju,32,2008,08/24/2008,1,0,0,1
6962,Kim Gwang-Hyeon,20,2008,08/24/2008,1,0,0,1
6963,Kim Hyeon-Su,20,2008,08/24/2008,1,0,0,1
6964,Kim Min-Jae,35,2008,08/24/2008,1,0,0,1
6965,Brandon Knight,32,2008,08/24/2008,0,0,1,1
6966,Mike Koplove,31,2008,08/24/2008,0,0,1,1
6967,Miguel La Hera,23,2008,08/24/2008,0,1,0,1
6968,Matt LaPorta,23,2008,08/24/2008,0,0,1,1
6969,Pedro Luis Lazo,35,2008,08/24/2008,0,1,0,1
6970,Lee Dae-Ho,26,2008,08/24/2008,1,0,0,1
6971,Lee Jin-Yeong,28,2008,08/24/2008,1,0,0,1
6972,Lee Jong-Uk,28,2008,08/24/2008,1,0,0,1
6973,Lee Seung-Yeop,31,2008,08/24/2008,1,0,0,1
6974,Lee Taek-Geun,28,2008,08/24/2008,1,0,0,1
6975,Lee Yong-Gyu,22,2008,08/24/2008,1,0,0,1
6976,Lou Marson,22,2008,08/24/2008,0,0,1,1
6977,Jonder Martínez,30,2008,08/24/2008,0,1,0,1
6978,Alexander Mayeta,31,2008,08/24/2008,0,1,0,1
6979,Rolando Meriño,37,2008,08/24/2008,0,1,0,1
6980,Luis Miguel Navas,28,2008,08/24/2008,0,1,0,1
6981,Blaine Neal,30,2008,08/24/2008,0,0,1,1
6982,Jayson Nix,25,2008,08/24/2008,0,0,1,1
6983,O Seung-Hwan,26,2008,08/24/2008,1,0,0,1
6984,Vicyohandri Odelín,28,2008,08/24/2008,0,1,0,1
6985,Héctor Olivera Jr.,23,2008,08/24/2008,0,1,0,1
6986,Adiel Palma,37,2008,08/24/2008,0,1,0,1
6987,Eduardo Paret,35,2008,08/24/2008,0,1,0,1
6988,Park Jin-Man,31,2008,08/24/2008,1,0,0,1
6989,Yadier Pedroso,22,2008,08/24/2008,0,1,0,1
6990,Ariel Pestano,34,2008,08/24/2008,0,1,0,1
6991,Luis Miguel Rodríguez,35,2008,08/24/2008,0,1,0,1
6992,Ryu Hyeon-Jin,21,2008,08/24/2008,1,0,0,1
6993,Elier Sánchez,21,2008,08/24/2008,0,1,0,1
6994,Eriel Sánchez,33,2008,08/24/2008,0,1,0,1
6995,Nate Schierholtz,24,2008,08/24/2008,0,0,1,1
6996,Song Seung-Jun,28,2008,08/24/2008,1,0,0,1
6997,Jeff Stevens,24,2008,08/24/2008,0,0,1,1
6998,Stephen Strasburg,20,2008,08/24/2008,0,0,1,1
6999,Taylor Teagarden,24,2008,08/24/2008,0,0,1,1
7000,Terry Tiffee,29,2008,08/24/2008,0,0,1,1
7001,Yoandri Urgellés,27,2008,08/24/2008,0,1,0,1
7002,Norge Luis Vera,37,2008,08/24/2008,0,1,0,1
7003,Casey Weathers,23,2008,08/24/2008,0,0,1,1
7004,Yoon Suk-Min,22,2008,08/24/2008,1,0,0,1
7005,Ryoji Aikawa,28,2004,08/29/2004,0,0,1,1
7006,Craig Anderson,23,2004,08/29/2004,0,1,0,1
7007,Yuya Ando,26,2004,08/29/2004,0,0,1,1
7008,Danny Betancourt,23,2004,08/29/2004,1,0,0,1
7009,Luis Borroto,21,2004,08/29/2004,1,0,0,1
7010,Tom Brice,22,2004,08/29/2004,0,1,0,1
7011,Adrian Burnside,27,2004,08/29/2004,0,1,0,1
7012,Frederich Cepeda,24,2004,08/29/2004,1,0,0,1
7013,Yorelvis Charles,25,2004,08/29/2004,1,0,0,1
7014,Michel Enríquez,25,2004,08/29/2004,1,0,0,1
7015,Gavin Fingleson,28,2004,08/29/2004,0,1,0,1
7016,Atsushi Fujimoto,26,2004,08/29/2004,0,0,1,1
7017,Kosuke Fukudome,27,2004,08/29/2004,0,0,1,1
7018,Norberto González,24,2004,08/29/2004,1,0,0,1
7019,Paul Gonzalez,35,2004,08/29/2004,0,1,0,1
7020,Yulieski Gourriel,20,2004,08/29/2004,1,0,0,1
7021,Hirotoshi Ishii,26,2004,08/29/2004,0,0,1,1
7022,Hisashi Iwakuma,23,2004,08/29/2004,0,0,1,1
7023,Hitoki Iwase,29,2004,08/29/2004,0,0,1,1
7024,Kenji Johjima,28,2004,08/29/2004,0,0,1,1
7025,Makoto Kaneko,28,2004,08/29/2004,0,0,1,1
7026,Nick Kimpton,20,2004,08/29/2004,0,1,0,1
7027,Takuya Kimura,32,2004,08/29/2004,0,0,1,1
7028,Brendan Kingman,31,2004,08/29/2004,0,1,0,1
7029,Masahide Kobayashi,30,2004,08/29/2004,0,0,1,1
7030,Hiroki Kuroda,29,2004,08/29/2004,0,0,1,1
7031,Pedro Luis Lazo,31,2004,08/29/2004,1,0,0,1
7032,Craig Lewis,27,2004,08/29/2004,0,1,0,1
7033,Graeme Lloyd,37,2004,08/29/2004,0,1,0,1
7034,Roger Machado,30,2004,08/29/2004,1,0,0,1
7035,Jonder Martínez,26,2004,08/29/2004,1,0,0,1
7036,Daisuke Matsuzaka,23,2004,08/29/2004,0,0,1,1
7037,Danny Miranda,25,2004,08/29/2004,1,0,0,1
7038,Daisuke Miura,30,2004,08/29/2004,0,0,1,1
7039,Shinya Miyamoto,33,2004,08/29/2004,0,0,1,1
7040,Frank Montieth,19,2004,08/29/2004,1,0,0,1
7041,Arihito Muramatsu,31,2004,08/29/2004,0,0,1,1
7042,Norihiro Nakamura,31,2004,08/29/2004,0,0,1,1
7043,Dave Nilsson,34,2004,08/29/2004,0,1,0,1
7044,Vicyohandri Odelín,24,2004,08/29/2004,1,0,0,1
7045,Trent Oeltjen,21,2004,08/29/2004,0,1,0,1
7046,Michihiro Ogasawara,30,2004,08/29/2004,0,0,1,1
7047,Wayne Ough,25,2004,08/29/2004,0,1,0,1
7048,Chris Oxspring,27,2004,08/29/2004,0,1,0,1
7049,Adiel Palma,33,2004,08/29/2004,1,0,0,1
7050,Eduardo Paret,31,2004,08/29/2004,1,0,0,1
7051,Ariel Pestano,30,2004,08/29/2004,1,0,0,1
7052,Alexei Ramírez,22,2004,08/29/2004,1,0,0,1
7053,Brett Roneberg,25,2004,08/29/2004,0,1,0,1
7054,Ryan Rowland Smith,21,2004,08/29/2004,0,1,0,1
7055,Eriel Sánchez,29,2004,08/29/2004,1,0,0,1
7056,Antonio Scull,38,2004,08/29/2004,1,0,0,1
7057,Naoyuki Shimizu,28,2004,08/29/2004,0,0,1,1
7058,John Stephens,24,2004,08/29/2004,0,1,0,1
7059,Phil Stockman,24,2004,08/29/2004,0,1,0,1
7060,Carlos Tabares,30,2004,08/29/2004,1,0,0,1
7061,Yoshinobu Takahashi,29,2004,08/29/2004,0,0,1,1
7062,Brett Tamburrino,22,2004,08/29/2004,0,1,0,1
7063,Yoshitomo Tani,31,2004,08/29/2004,0,0,1,1
7064,Richard Thompson,20,2004,08/29/2004,0,1,0,1
7065,Koji Uehara,29,2004,08/29/2004,0,0,1,1
7066,Yoandri Urgellés,23,2004,08/29/2004,1,0,0,1
7067,Osmani Urrutia,28,2004,08/29/2004,1,0,0,1
7068,Andrew Utting,26,2004,08/29/2004,0,1,0,1
7069,Rodney Van Buizen,23,2004,08/29/2004,0,1,0,1
7070,Manuel Vega,29,2004,08/29/2004,1,0,0,1
7071,Norge Luis Vera,33,2004,08/29/2004,1,0,0,1
7072,Kazuhiro Wada,32,2004,08/29/2004,0,0,1,1
7073,Tsuyoshi Wada,23,2004,08/29/2004,0,0,1,1
7074,Ben Wigmore,22,2004,08/29/2004,0,1,0,1
7075,Glenn Williams,27,2004,08/29/2004,0,1,0,1
7076,Jeff Williams,32,2004,08/29/2004,0,1,0,1
7077,Brent Abernathy,22,2000,10/01/2000,1,0,0,1
7078,Kurt Ainsworth,22,2000,10/01/2000,1,0,0,1
7079,Omar Ajete,35,2000,10/01/2000,0,1,0,1
7080,Yosvany Aragón,26,2000,10/01/2000,0,1,0,1
7081,Pat Borders,37,2000,10/01/2000,1,0,0,1
7082,Sean Burroughs,20,2000,10/01/2000,1,0,0,1
7083,Miguel Caldés,29,2000,10/01/2000,0,1,0,1
7084,Danel Castro,24,2000,10/01/2000,0,1,0,1
7085,José Contreras,28,2000,10/01/2000,0,1,0,1
7086,John Cotton,29,2000,10/01/2000,1,0,0,1
7087,Travis Dawkins,21,2000,10/01/2000,1,0,0,1
7088,Yobal Dueñas,28,2000,10/01/2000,0,1,0,1
7089,Adam Everett,23,2000,10/01/2000,1,0,0,1
7090,Ryan Franklin,27,2000,10/01/2000,1,0,0,1
7091,Chris George,21,2000,10/01/2000,1,0,0,1
7092,Yasser Gómez,20,2000,10/01/2000,0,1,0,1
7093,Gu Dae-Seong,31,2000,10/01/2000,0,0,1,1
7094,Shane Heams,24,2000,10/01/2000,1,0,0,1
7095,Hong Seong-Heun,23,2000,10/01/2000,0,0,1,1
7096,José Ibar,31,2000,10/01/2000,0,1,0,1
7097,Im Chang-Yong,24,2000,10/01/2000,0,0,1,1
7098,Im Seon-Dong,27,2000,10/01/2000,0,0,1,1
7099,Jang Seong-Ho,22,2000,10/01/2000,0,0,1,1
7100,Marcus Jensen,27,2000,10/01/2000,1,0,0,1
7101,Jeong Dae-Hyeon,21,2000,10/01/2000,0,0,1,1
7102,Jeong Min-Tae,30,2000,10/01/2000,0,0,1,1
7103,Jeong Su-Geun,23,2000,10/01/2000,0,0,1,1
7104,Jin Pil-Jung,27,2000,10/01/2000,0,0,1,1
7105,Kim Dong-Ju,24,2000,10/01/2000,0,0,1,1
7106,Kim Gi-Tae,31,2000,10/01/2000,0,0,1,1
7107,Kim Han-Su,28,2000,10/01/2000,0,0,1,1
7108,Kim Su-Gyeong,21,2000,10/01/2000,0,0,1,1
7109,Kim Tae-Gyun,29,2000,10/01/2000,0,0,1,1
7110,Orestes Kindelán,35,2000,10/01/2000,0,1,0,1
7111,Mike Kinkade,27,2000,10/01/2000,1,0,0,1
7112,Rick Krivda,30,2000,10/01/2000,1,0,0,1
7113,Pedro Luis Lazo,27,2000,10/01/2000,0,1,0,1
7114,Lee Byeong-Gyu,25,2000,10/01/2000,0,0,1,1
7115,Lee Seung-Ho,19,2000,10/01/2000,0,0,1,1
7116,Lee Seung-Yeop,24,2000,10/01/2000,0,0,1,1
7117,Omar Linares,32,2000,10/01/2000,0,1,0,1
7118,Oscar Macias,31,2000,10/01/2000,0,1,0,1
7119,Juan Manrique,33,2000,10/01/2000,0,1,0,1
7120,Javier Méndez,36,2000,10/01/2000,0,1,0,1
7121,Rolando Meriño,29,2000,10/01/2000,0,1,0,1
7122,Germán Mesa,33,2000,10/01/2000,0,1,0,1
7123,Doug Mientkiewicz,26,2000,10/01/2000,1,0,0,1
7124,Mike Neill,30,2000,10/01/2000,1,0,0,1
7125,Roy Oswalt,23,2000,10/01/2000,1,0,0,1
7126,Antonio Pacheco,36,2000,10/01/2000,0,1,0,1
7127,Park Gyeong-Wan,28,2000,10/01/2000,0,0,1,1
7128,Park Jae-Hong,27,2000,10/01/2000,0,0,1,1
7129,Park Jin-Man,23,2000,10/01/2000,0,0,1,1
7130,Park Jong-Ho,27,2000,10/01/2000,0,0,1,1
7131,Park Seok-Jin,28,2000,10/01/2000,0,0,1,1
7132,Ariel Pestano,26,2000,10/01/2000,0,1,0,1
7133,Gabriel Pierre,33,2000,10/01/2000,0,1,0,1
7134,Jon Rauch,21,2000,10/01/2000,1,0,0,1
7135,Maels Rodríguez,20,2000,10/01/2000,0,1,0,1
7136,Anthony Sanders,26,2000,10/01/2000,1,0,0,1
7137,Antonio Scull,35,2000,10/01/2000,0,1,0,1
7138,Bobby Seay,22,2000,10/01/2000,1,0,0,1
7139,Ben Sheets,22,2000,10/01/2000,1,0,0,1
7140,Son Min-Han,25,2000,10/01/2000,0,0,1,1
7141,Song Jin-U,34,2000,10/01/2000,0,0,1,1
7142,Luis Ulacia,36,2000,10/01/2000,0,1,0,1
7143,Lazaro Valle,37,2000,10/01/2000,0,1,0,1
7144,Norge Luis Vera,29,2000,10/01/2000,0,1,0,1
7145,Brad Wilkerson,23,2000,10/01/2000,1,0,0,1
7146,Todd Williams,29,2000,10/01/2000,1,0,0,1
7147,Ernie Young,31,2000,10/01/2000,1,0,0,1
7148,Tim Young,26,2000,10/01/2000,1,0,0,1
7149,Nicola Adams,29,2012,08/12/2012,1,0,0,1
7150,Misha Aloyan,23,2012,08/12/2012,0,0,1,1
7151,Lázaro Álvarez,21,2012,08/12/2012,0,0,1,1
7152,Adriana Araújo,31,2012,08/12/2012,0,0,1,1
7153,Abbos Atayev,26,2012,08/12/2012,0,0,1,1
7154,David Ayrapetyan,28,2012,08/12/2012,0,0,1,1
7155,Paddy Barnes,25,2012,08/12/2012,0,0,1,1
7156,Denys Berinchyk,24,2012,08/12/2012,0,1,0,1
7157,Roberto Cammarelle,32,2012,08/12/2012,0,1,0,1
7158,Luke Campbell,24,2012,08/12/2012,1,0,0,1
7159,Mavzuna Choriyeva,19,2012,08/12/2012,0,0,1,1
7160,Michael Conlan,20,2012,08/12/2012,0,0,1,1
7161,Ivan Dychko,21,2012,08/12/2012,0,0,1,1
7162,Marlen Esparza,23,2012,08/12/2012,0,0,1,1
7163,Fred Evans,21,2012,08/12/2012,0,1,0,1
7164,Esquiva Florentino,22,2012,08/12/2012,0,1,0,1
7165,Yamaguchi Florentino,24,2012,08/12/2012,0,0,1,1
7166,Han Sun-Cheol,27,2012,08/12/2012,0,1,0,1
7167,Oleksandr Hvozdyk,25,2012,08/12/2012,0,0,1,1
7168,Roniel Iglesias,23,2012,08/12/2012,1,0,0,1
7169,Anthony Joshua,22,2012,08/12/2012,1,0,0,1
7170,M. C. Mary Kom,29,2012,08/12/2012,0,0,1,1
7171,Li Jinzi,22,2012,08/12/2012,0,0,1,1
7172,Vasyl Lomachenko,24,2012,08/12/2012,1,0,0,1
7173,Vincenzo Mangiacapre,23,2012,08/12/2012,0,0,1,1
7174,Yegor Mekhontsev,27,2012,08/12/2012,1,0,0,1
7175,Ryota Murata,26,2012,08/12/2012,1,0,0,1
7176,M?h?mm?dr?sul M?cidov,25,2012,08/12/2012,0,0,1,1
7177,Teymur M?mm?dov,19,2012,08/12/2012,0,0,1,1
7178,John Joe Nevin,23,2012,08/12/2012,0,1,0,1
7179,Adilbek Niyazymbetov,23,2012,08/12/2012,0,1,0,1
7180,Nyambayaryn Tögstsogt,20,2012,08/12/2012,0,1,0,1
7181,Sofya Ochigava,25,2012,08/12/2012,0,1,0,1
7182,Anthony Ogogo,23,2012,08/12/2012,0,0,1,1
7183,Evaldas Petrauskas,20,2012,08/12/2012,0,0,1,1
