,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
775,Mavlet Batyrov,24,2008,08/24/2008,1,0,0,1
776,Rövs?n Bayramov,21,2008,08/24/2008,0,1,0,1
777,Kanat Begaliyev,24,2008,08/24/2008,0,1,0,1
778,Henry Cejudo,21,2008,08/24/2008,1,0,0,1
779,Chang Yongxiang,24,2008,08/24/2008,0,1,0,1
780,Taras Danko,28,2008,08/24/2008,0,0,1,1
781,Mirko Englich,29,2008,08/24/2008,0,1,0,1
782,Vasyl Fedoryshyn,27,2008,08/24/2008,0,1,0,1
783,Zoltán Fodor,23,2008,08/24/2008,0,1,0,1
784,Murad Gaydarov,28,2008,08/24/2008,0,0,1,1
785,Giorgi Gogshelidze,28,2008,08/24/2008,0,0,1,1
786,Christophe Guénot,29,2008,08/24/2008,0,0,1,1
787,Steeve Guénot,22,2008,08/24/2008,1,0,0,1
788,Kyoko Hamaguchi,30,2008,08/24/2008,0,0,1,1
789,Carol Huynh,27,2008,08/24/2008,1,0,0,1
790,Chiharu Icho,26,2008,08/24/2008,0,1,0,1
791,Kaori Icho,24,2008,08/24/2008,1,0,0,1
792,Manuchar K'virk'elia,29,2008,08/24/2008,1,0,0,1
793,Alyona Kartashova,26,2008,08/24/2008,0,1,0,1
794,Georgy Ketoyev,22,2008,08/24/2008,0,0,1,1
795,Aslanbek Khushtov,28,2008,08/24/2008,1,0,0,1
796,Besik Kudukhov,22,2008,08/24/2008,0,0,1,1
797,Sushil Kumar,25,2008,08/24/2008,0,0,1,1
798,Mijaín López,25,2008,08/24/2008,1,0,0,1
799,Aset Mambetov,26,2008,08/24/2008,0,0,1,1
800,Nazyr Mankiyev,23,2008,08/24/2008,1,0,0,1
801,Tomohiro Matsunaga,28,2008,08/24/2008,0,1,0,1
802,Iryna Merleni-Mykulchyn,26,2008,08/24/2008,0,0,1,1
803,Randi Miller,24,2008,08/24/2008,0,0,1,1
804,Revaz Mindorashvili,32,2008,08/24/2008,1,0,0,1
805,Andrea Minguzzi,26,2008,08/24/2008,1,0,0,1
806,Mindaugas Mizgaitis,28,2008,08/24/2008,0,0,1,1
807,Seyed Mohammadi,28,2008,08/24/2008,0,0,1,1
808,Sharvani Muradov,23,2008,08/24/2008,1,0,0,1
809,David Musulbes,36,2008,08/24/2008,0,0,1,1
810,Marid Mutalimov,28,2008,08/24/2008,0,0,1,1
811,Park Eun-Chul,27,2008,08/24/2008,0,0,1,1
812,Yury Patrikeyev,28,2008,08/24/2008,0,0,1,1
813,Xetaq Qazyumov,25,2008,08/24/2008,0,0,1,1
814,Jackeline Rentería,22,2008,08/24/2008,0,0,1,1
815,Vitaliy R?himov,23,2008,08/24/2008,0,1,0,1
816,Ramazan Sahin,25,2008,08/24/2008,1,0,0,1
817,Buvaisa Saytiyev,33,2008,08/24/2008,1,0,0,1
818,Mikhail Semyonov,24,2008,08/24/2008,0,0,1,1
819,Yelena Shalygina,21,2008,08/24/2008,0,0,1,1
820,Andriy Stadnik,26,2008,08/24/2008,0,1,0,1
821,Mariya Stadnik,20,2008,08/24/2008,0,0,1,1
822,Artur Taymazov,29,2008,08/24/2008,1,0,0,1
823,Nurbakyt Tengizbayev,25,2008,08/24/2008,0,0,1,1
824,Kiril Terziev,24,2008,08/24/2008,0,0,1,1
825,Soslan Tigiyev,24,2008,08/24/2008,0,1,0,1
826,Taymuraz Tigiyev,26,2008,08/24/2008,0,1,0,1
827,Otar Tushishvili,30,2008,08/24/2008,0,0,1,1
828,Ruslan Tyumenbayev,22,2008,08/24/2008,0,0,1,1
829,Armen Vardanian,25,2008,08/24/2008,0,0,1,1
830,Radoslav Velikov,24,2008,08/24/2008,0,0,1,1
831,Tonya Verbeek,31,2008,08/24/2008,0,0,1,1
832,Wang Jiao,20,2008,08/24/2008,1,0,0,1
833,Adam Wheeler,27,2008,08/24/2008,0,0,1,1
834,Agnieszka Wieszczek,25,2008,08/24/2008,0,0,1,1
835,Xu Li,18,2008,08/24/2008,0,1,0,1
836,Yavor Yanakiev,23,2008,08/24/2008,0,0,1,1
837,Saori Yoshida,25,2008,08/24/2008,1,0,0,1
838,Kenichi Yumoto,23,2008,08/24/2008,0,0,1,1
839,Stanka Zlateva,25,2008,08/24/2008,0,1,0,1
840,Stephen Abas,26,2004,08/29/2004,0,1,0,1
841,Ara Abrahamian,29,2004,08/29/2004,0,1,0,1
842,Khasan Baroyev,21,2004,08/29/2004,1,0,0,1
843,Mavlet Batyrov,20,2004,08/29/2004,1,0,0,1
844,Aleksandr Dokturishivili,24,2004,08/29/2004,1,0,0,1
845,Seref Eroglu,28,2004,08/29/2004,0,1,0,1
846,Iván Fundora,28,2004,08/29/2004,0,0,1,1
847,Karam Gaber,24,2004,08/29/2004,1,0,0,1
848,Rulon Gardner,33,2004,08/29/2004,0,0,1,1
849,Khadzhimurat Gatsalov,21,2004,08/29/2004,1,0,0,1
850,Lise Golliot-Legrand,27,2004,08/29/2004,0,0,1,1
851,Anna Gomis,30,2004,08/29/2004,0,0,1,1
852,Kyoko Hamaguchi,26,2004,08/29/2004,0,0,1,1
853,Ali Reza Heidari,28,2004,08/29/2004,0,0,1,1
854,Magamed Ibragimov,21,2004,08/29/2004,0,1,0,1
855,Chiharu Icho,22,2004,08/29/2004,0,1,0,1
856,Kaori Icho,20,2004,08/29/2004,1,0,0,1
857,Kenji Inoue,27,2004,08/29/2004,0,0,1,1
858,Jeong Ji-Hyeon,21,2004,08/29/2004,1,0,0,1
859,Jamill Kelly,26,2004,08/29/2004,0,1,0,1
860,Atryom Kyuregyan,27,2004,08/29/2004,0,0,1,1
861,Gennady Laliyev,25,2004,08/29/2004,0,1,0,1
862,István Majoros,30,2004,08/29/2004,1,0,0,1
863,Vyacheslav Makarenko,28,2004,08/29/2004,0,0,1,1
864,Gaydar Mamedaliyev,30,2004,08/29/2004,0,1,0,1
865,Mkhitar Manukyan,31,2004,08/29/2004,0,0,1,1
866,Gyuzel Manyurova,26,2004,08/29/2004,0,1,0,1
867,Sara McMann,23,2004,08/29/2004,0,1,0,1
868,Iryna Merleni-Mykulchyn,22,2004,08/29/2004,1,0,0,1
869,Patricia Miranda,25,2004,08/29/2004,0,0,1,1
870,Aleksey Mishin,25,2004,08/29/2004,1,0,0,1
871,Roberto Monzón,26,2004,08/29/2004,0,1,0,1
872,Masoud Moustafa Gokar,26,2004,08/29/2004,0,1,0,1
873,Mun Ui-Je,29,2004,08/29/2004,0,1,0,1
874,Makhach Murtazaliyev,20,2004,08/29/2004,0,0,1,1
875,F?rid M?nsurov,22,2004,08/29/2004,1,0,0,1
876,Armen Nazaryan,30,2004,08/29/2004,0,0,1,1
877,Ramaz Nozadze,20,2004,08/29/2004,0,1,0,1
878,Mehmet Özal,30,2004,08/29/2004,0,0,1,1
879,Aydin Polatçi,27,2004,08/29/2004,0,0,1,1
880,Yandro Quintana,24,2004,08/29/2004,1,0,0,1
881,Ali Reza Rezaei,28,2004,08/29/2004,0,1,0,1
882,Varteres Samurgashev,24,2004,08/29/2004,0,0,1,1
883,Cael Sanderson,25,2004,08/29/2004,1,0,0,1
884,Buvaisa Saytiyev,29,2004,08/29/2004,1,0,0,1
885,Sazhid Sazhidov,24,2004,08/29/2004,0,0,1,1
886,Chikara Tanabe,29,2004,08/29/2004,0,0,1,1
887,Artur Taymazov,25,2004,08/29/2004,1,0,0,1
888,Elbrus Tedieiev,29,2004,08/29/2004,1,0,0,1
889,Georgy Tsurtsumia,23,2004,08/29/2004,0,1,0,1
890,Tonya Verbeek,27,2004,08/29/2004,0,1,0,1
891,Wang Xu,18,2004,08/29/2004,1,0,0,1
892,Marko Yli-Hannuksela,30,2004,08/29/2004,0,1,0,1
893,Saori Yoshida,21,2004,08/29/2004,1,0,0,1
894,Namiq Abdullayev,29,2000,10/01/2000,1,0,0,1
895,Filiberto Azcuy,27,2000,10/01/2000,1,0,0,1
896,Sándor István Bárdosi,23,2000,10/01/2000,0,1,0,1
897,Serafim Barzakov,25,2000,10/01/2000,0,1,0,1
898,Islam Bayramukov,29,2000,10/01/2000,0,1,0,1
899,Adem Bereket,27,2000,10/01/2000,0,0,1,1
900,Terry Brands,32,2000,10/01/2000,0,0,1,1
901,Yevhen Buslovych,28,2000,10/01/2000,0,1,0,1
902,Ak'ak'i Chachua,31,2000,10/01/2000,0,0,1,1
903,Ali Reza Dabir,23,2000,10/01/2000,1,0,0,1
904,Dmitry Debelka,24,2000,10/01/2000,0,0,1,1
905,Rulon Gardner,29,2000,10/01/2000,1,0,0,1
906,Arsen Gitinov,23,2000,10/01/2000,0,1,0,1
907,Aleksey Glushkov,25,2000,10/01/2000,0,0,1,1
908,Sammie Henson,29,2000,10/01/2000,0,1,0,1
909,Mogamed Ibragimov,26,2000,10/01/2000,0,0,1,1
910,Daniel Igali,26,2000,10/01/2000,1,0,0,1
911,Jang Jae-Seong,25,2000,10/01/2000,0,0,1,1
